slug,site-address,name,geography,url
/brownfield-land/local-authority-eng/BRW/237--HELAA170634-,"Chainbridge Farm, Roman Rd, Mountessing, CM15 8SG",237 (HELAA170634),237 (HELAA170634),https://digital-land.github.io/brownfield-land/local-authority-eng/BRW/237--HELAA170634-
/brownfield-land/local-authority-eng/BRW/284--HELAA172398-,"Land adjacent to 7 Hanging Hill Lane, CM13 2HY",284 (HELAA172398),284 (HELAA172398),https://digital-land.github.io/brownfield-land/local-authority-eng/BRW/284--HELAA172398-
/brownfield-land/local-authority-eng/BRW/292--HELAA168257-,"Suffolk House Yard, Ashwells Road, PIlgrims Hatch, CM15 9SG",292 (HELAA168257),292 (HELAA168257),https://digital-land.github.io/brownfield-land/local-authority-eng/BRW/292--HELAA168257-
/brownfield-land/local-authority-eng/BRW/308--HELAA171699-,"Lingwood and linked parcel of land,Ashwell, CM15 9SE",308 (HELAA171699),308 (HELAA171699),https://digital-land.github.io/brownfield-land/local-authority-eng/BRW/308--HELAA171699-
,,,,
/brownfield-land/local-authority-eng/BRX/BR32,"Brewery Road, Hoddesdon, EN11 8HF, The Old Maltings",BR32,BR32,https://digital-land.github.io/brownfield-land/local-authority-eng/BRX/BR32
/brownfield-land/local-authority-eng/BRX/BR33,"Rye Road, Hoddesdon, EN11 0LH, Former Youth Centre",BR33,BR33,https://digital-land.github.io/brownfield-land/local-authority-eng/BRX/BR33
,,,,
/brownfield-land/local-authority-eng/BRX/BR36,"33-35 Eleanor Cross Road, Waltham Cross, EN8 7LF, Eleanor House",BR36,BR36,https://digital-land.github.io/brownfield-land/local-authority-eng/BRX/BR36
/brownfield-land/local-authority-eng/BRX/BR42,"High Street, Waltham Cross, EN8 7TU, Bartholomew Court",BR42,BR42,https://digital-land.github.io/brownfield-land/local-authority-eng/BRX/BR42
,,,,
/brownfield-land/local-authority-eng/BRY/BLR54,Heatherwood 33 Station Road BR6 0RZ,BLR54,BLR54,https://digital-land.github.io/brownfield-land/local-authority-eng/BRY/BLR54
/brownfield-land/local-authority-eng/BRY/BLR67,"Heatherwood, 33 Station Road Orpington",BLR67,BLR67,https://digital-land.github.io/brownfield-land/local-authority-eng/BRY/BLR67
,,,,
/brownfield-land/local-authority-eng/BRY/BLR57,112 Beckenham Road BR3 4RH,BLR57,BLR57,https://digital-land.github.io/brownfield-land/local-authority-eng/BRY/BLR57
